algoritmo,n,tipo,dominio,muestra,tiempo_ms,memoria_kb
naive,16,dispersa,D0,a,0.000881,3924
strassen,16,dispersa,D0,a,0.581816,4308
naive,16,dispersa,D0,b,0.000922,4308
strassen,16,dispersa,D0,b,0.582437,4308
naive,16,dispersa,D0,c,0.001834,4308
strassen,16,dispersa,D0,c,0.853152,4308
naive,16,dispersa,D10,a,0.001372,4308
strassen,16,dispersa,D10,a,0.887626,4308
naive,16,dispersa,D10,b,0.001362,4308
strassen,16,dispersa,D10,b,0.842973,4308
naive,16,dispersa,D10,c,0.001884,4308
strassen,16,dispersa,D10,c,1.03723,4308
naive,16,diagonal,D0,a,0.001813,4308
strassen,16,diagonal,D0,a,0.929264,4308
naive,16,diagonal,D0,b,0.001894,4308
strassen,16,diagonal,D0,b,1.17754,4308
naive,16,diagonal,D0,c,0.001432,4308
strassen,16,diagonal,D0,c,0.965632,4308
naive,16,diagonal,D10,a,0.001974,4308
strassen,16,diagonal,D10,a,1.19199,4308
naive,16,diagonal,D10,b,0.001853,4308
strassen,16,diagonal,D10,b,0.981662,4308
naive,16,diagonal,D10,c,0.002024,4308
strassen,16,diagonal,D10,c,0.592586,4308
naive,16,densa,D0,a,0.001804,4308
strassen,16,densa,D0,a,0.5733,4308
naive,16,densa,D0,b,0.002093,4308
strassen,16,densa,D0,b,1.16926,4308
naive,16,densa,D0,c,0.001482,4308
strassen,16,densa,D0,c,1.09237,4308
naive,16,densa,D10,a,0.001973,4308
strassen,16,densa,D10,a,1.0921,4308
naive,16,densa,D10,b,0.001162,4308
strassen,16,densa,D10,b,0.568431,4308
naive,16,densa,D10,c,0.001913,4308
strassen,16,densa,D10,c,0.808439,4308
naive,64,dispersa,D0,a,0.034294,4308
strassen,64,dispersa,D0,a,30.2361,4564
naive,64,dispersa,D0,b,0.063529,4564
strassen,64,dispersa,D0,b,28.5255,4564
naive,64,dispersa,D0,c,0.06444,4564
strassen,64,dispersa,D0,c,29.2767,4564
naive,64,dispersa,D10,a,0.063479,4564
strassen,64,dispersa,D10,a,27.8434,4564
naive,64,dispersa,D10,b,0.068899,4564
strassen,64,dispersa,D10,b,28.8199,4564
naive,64,dispersa,D10,c,0.034134,4564
strassen,64,dispersa,D10,c,28.3715,4564
naive,64,diagonal,D0,a,0.068488,4564
strassen,64,diagonal,D0,a,29.428,4564
naive,64,diagonal,D0,b,0.034564,4564
strassen,64,diagonal,D0,b,28.3624,4564
naive,64,diagonal,D0,c,0.064391,4564
strassen,64,diagonal,D0,c,28.0926,4564
naive,64,diagonal,D10,a,0.04836,4564
strassen,64,diagonal,D10,a,27.6978,4564
naive,64,diagonal,D10,b,0.064219,4564
strassen,64,diagonal,D10,b,27.9635,4564
naive,64,diagonal,D10,c,0.061014,4564
strassen,64,diagonal,D10,c,27.948,4564
naive,64,densa,D0,a,0.06404,4564
strassen,64,densa,D0,a,28.978,4564
naive,64,densa,D0,b,0.034013,4564
strassen,64,densa,D0,b,28.5988,4564
naive,64,densa,D0,c,0.068839,4564
strassen,64,densa,D0,c,27.5449,4564
naive,64,densa,D10,a,0.082343,4564
strassen,64,densa,D10,a,28.4843,4564
naive,64,densa,D10,b,0.063999,4564
strassen,64,densa,D10,b,29.0773,4564
naive,64,densa,D10,c,0.064129,4564
strassen,64,densa,D10,c,28.0979,4564
naive,256,dispersa,D0,a,2.00093,5204
strassen,256,dispersa,D0,a,1412.74,8020
naive,256,dispersa,D0,b,2.50233,8020
strassen,256,dispersa,D0,b,1394.29,8020
naive,256,dispersa,D0,c,2.02596,8020
strassen,256,dispersa,D0,c,1384.35,8020
naive,256,dispersa,D10,a,2.01889,8020
strassen,256,dispersa,D10,a,1386.29,8020
naive,256,dispersa,D10,b,2.14235,8148
strassen,256,dispersa,D10,b,1385.49,8148
naive,256,dispersa,D10,c,2.0272,8148
strassen,256,dispersa,D10,c,1380.25,8148
naive,256,diagonal,D0,a,2.05201,8148
strassen,256,diagonal,D0,a,1384.44,8148
naive,256,diagonal,D0,b,2.24172,8148
strassen,256,diagonal,D0,b,1389.72,8148
naive,256,diagonal,D0,c,2.03879,8148
strassen,256,diagonal,D0,c,1377.76,8148
naive,256,diagonal,D10,a,2.16511,8148
strassen,256,diagonal,D10,a,1385.59,8148
naive,256,diagonal,D10,b,2.08943,8148
strassen,256,diagonal,D10,b,1390.91,8148
naive,256,diagonal,D10,c,2.03348,8148
strassen,256,diagonal,D10,c,1398.33,8148
naive,256,densa,D0,a,2.05013,8148
strassen,256,densa,D0,a,1383.21,8148
naive,256,densa,D0,b,2.018,8148
strassen,256,densa,D0,b,1391.03,8148
naive,256,densa,D0,c,2.0196,8148
strassen,256,densa,D0,c,1380.33,8148
naive,256,densa,D10,a,2.02701,8148
strassen,256,densa,D10,a,1371.08,8276
naive,256,densa,D10,b,2.02073,8276
strassen,256,densa,D10,b,1381.92,8276
naive,256,densa,D10,c,2.04166,8276
strassen,256,densa,D10,c,1386.64,8276
naive,1024,dispersa,D0,a,137.669,16980
strassen,1024,dispersa,D0,a,67777.8,60264
naive,1024,dispersa,D0,b,135.367,60264
strassen,1024,dispersa,D0,b,67747,60264
naive,1024,dispersa,D0,c,133.486,60264
strassen,1024,dispersa,D0,c,67888.3,60264
naive,1024,dispersa,D10,a,134.615,60264
strassen,1024,dispersa,D10,a,68844.3,60264
naive,1024,dispersa,D10,b,135.684,60264
strassen,1024,dispersa,D10,b,68463.4,60264
naive,1024,dispersa,D10,c,151.765,60264
strassen,1024,dispersa,D10,c,68983,60264
naive,1024,diagonal,D0,a,134.534,60264
strassen,1024,diagonal,D0,a,68958.7,60264
naive,1024,diagonal,D0,b,134.238,60264
strassen,1024,diagonal,D0,b,69511,60264
naive,1024,diagonal,D0,c,168.642,60264
strassen,1024,diagonal,D0,c,73190.7,60264
naive,1024,diagonal,D10,a,148.114,60264
strassen,1024,diagonal,D10,a,72413,60264
naive,1024,diagonal,D10,b,137.35,60264
strassen,1024,diagonal,D10,b,69290,60264
naive,1024,diagonal,D10,c,137.013,60264
strassen,1024,diagonal,D10,c,69305.3,60264
naive,1024,densa,D0,a,134.937,60264
strassen,1024,densa,D0,a,74546,60264
naive,1024,densa,D0,b,139.32,60264
strassen,1024,densa,D0,b,70128.6,60264
naive,1024,densa,D0,c,138.033,60264
strassen,1024,densa,D0,c,69706.4,60264
naive,1024,densa,D10,a,133.434,60264
strassen,1024,densa,D10,a,69924.7,60264
naive,1024,densa,D10,b,164.907,60264
strassen,1024,densa,D10,b,72004.2,60264
naive,1024,densa,D10,c,134.671,60264
strassen,1024,densa,D10,c,68202.4,60264
