algoritmo,n,tipo,dominio,muestra,tiempo_ms,memoria_kb
Sort,10,ascendente,D1,a,0.000922,3896
mergeSort,10,ascendente,D1,a,0.001122,4280
quickSort,10,ascendente,D1,a,0.000652,4280
patienceSort,10,ascendente,D1,a,0.002235,4280
Sort,10,ascendente,D1,b,0.000201,4280
mergeSort,10,ascendente,D1,b,0.000672,4280
quickSort,10,ascendente,D1,b,0.000541,4280
patienceSort,10,ascendente,D1,b,0.001693,4280
Sort,10,ascendente,D1,c,0.00019,4280
mergeSort,10,ascendente,D1,c,0.000661,4280
quickSort,10,ascendente,D1,c,0.000751,4280
patienceSort,10,ascendente,D1,c,0.001442,4280
Sort,10,ascendente,D7,a,0.00022,4280
mergeSort,10,ascendente,D7,a,0.000641,4280
quickSort,10,ascendente,D7,a,0.000851,4280
patienceSort,10,ascendente,D7,a,0.001744,4280
Sort,10,ascendente,D7,b,0.00022,4280
mergeSort,10,ascendente,D7,b,0.000531,4280
quickSort,10,ascendente,D7,b,0.000762,4280
patienceSort,10,ascendente,D7,b,0.001373,4280
Sort,10,ascendente,D7,c,0.00018,4280
mergeSort,10,ascendente,D7,c,0.000521,4280
quickSort,10,ascendente,D7,c,0.000692,4280
patienceSort,10,ascendente,D7,c,0.001833,4280
Sort,10,descendente,D1,a,0.0003,4280
mergeSort,10,descendente,D1,a,0.000691,4280
quickSort,10,descendente,D1,a,0.000621,4280
patienceSort,10,descendente,D1,a,0.000822,4280
Sort,10,descendente,D1,b,0.000411,4280
mergeSort,10,descendente,D1,b,0.000701,4280
quickSort,10,descendente,D1,b,0.000691,4280
patienceSort,10,descendente,D1,b,0.000751,4280
Sort,10,descendente,D1,c,0.000321,4280
mergeSort,10,descendente,D1,c,0.000601,4280
quickSort,10,descendente,D1,c,0.000611,4280
patienceSort,10,descendente,D1,c,0.000692,4280
Sort,10,descendente,D7,a,0.000221,4280
mergeSort,10,descendente,D7,a,0.000581,4280
quickSort,10,descendente,D7,a,0.000662,4280
patienceSort,10,descendente,D7,a,0.000801,4280
Sort,10,descendente,D7,b,0.00022,4280
mergeSort,10,descendente,D7,b,0.000621,4280
quickSort,10,descendente,D7,b,0.000691,4280
